iter	Passed	Remaining
366	730	1259
367	731	1256
368	733	1254
369	734	1251
370	736	1248
371	737	1244
372	738	1241
373	739	1238
374	741	1235
375	742	1231
376	743	1228
377	744	1225
378	745	1222
379	747	1219
380	748	1216
381	750	1213
382	751	1211
383	753	1208
384	754	1205
385	756	1202
386	757	1199
387	758	1196
388	760	1194
389	761	1191
390	763	1188
391	764	1185
392	765	1183
393	767	1180
394	768	1177
395	769	1174
396	771	1171
397	772	1168
398	774	1166
399	775	1163
400	777	1161
401	778	1158
402	779	1155
403	781	1152
404	782	1149
405	784	1147
406	785	1144
407	786	1141
408	788	1139
409	789	1136
410	791	1133
411	792	1130
412	793	1128
413	795	1125
414	796	1122
415	797	1120
416	799	1117
417	800	1115
418	802	1112
419	804	1110
420	805	1108
421	807	1105
422	809	1103
423	810	1101
424	811	1098
425	813	1095
426	814	1093
427	816	1090
428	817	1088
429	819	1085
430	820	1083
431	821	1080
432	823	1077
433	824	1074
434	825	1072
435	827	1069
436	828	1067
437	829	1064
438	831	1062
439	833	1060
440	834	1057
441	835	1055
442	837	1052
443	838	1050
444	840	1047
445	841	1045
446	842	1042
447	843	1039
448	845	1037
449	846	1034
450	847	1032
451	849	1029
452	850	1027
453	852	1024
454	853	1022
455	854	1019
456	856	1017
457	857	1014
458	858	1012
459	860	1009
460	861	1007
461	863	1005
462	864	1002
463	866	1000
464	867	998
465	868	995
466	870	993
467	871	991
468	873	988
469	874	986
470	876	983
471	877	981
472	879	979
473	880	977
474	882	974
475	883	972
476	884	970
477	886	967
478	887	965
479	888	962
480	890	960
481	891	958
482	893	956
483	894	953
484	895	951
485	897	948
486	898	946
487	899	943
488	901	941
489	902	939
490	903	936
491	905	934
492	906	932
493	908	930
494	909	928
495	911	926
496	912	923
497	914	921
498	915	919
499	916	916
500	917	914
501	918	911
502	920	909
503	921	906
504	922	904
505	924	902
506	925	900
507	927	898
508	928	895
509	930	893
510	931	891
511	932	888
512	933	886
513	935	884
514	936	882
515	938	880
516	939	877
517	940	875
518	942	873
519	943	870
520	944	868
521	945	865
522	946	863
523	948	861
524	949	858
525	950	856
526	952	854
527	953	852
528	954	850
529	956	847
530	957	845
531	958	843
532	959	841
533	961	838
534	962	836
535	963	834
536	964	831
537	966	829
538	967	827
539	968	825
540	970	823
541	971	821
542	973	819
543	974	816
544	975	814
545	976	812
546	977	809
547	979	807
548	980	805
549	982	803
550	983	801
551	984	799
552	986	797
553	987	794
554	988	792
555	989	790
556	990	788
557	992	785
558	993	783
559	995	781
560	996	779
561	998	777
562	999	775
563	1000	773
564	1001	771
565	1002	769
566	1004	766
567	1005	764
568	1006	762
569	1007	760
570	1009	758
571	1010	756
572	1012	754
573	1013	752
574	1015	750
575	1016	748
576	1017	746
577	1019	744
578	1020	741
579	1021	739
580	1022	737
581	1024	735
582	1025	733
583	1027	731
584	1028	729
585	1029	727
586	1031	725
587	1032	723
588	1033	721
589	1034	719
590	1036	716
591	1037	714
592	1038	712
593	1040	711
594	1041	708
595	1042	706
596	1044	704
597	1045	702
598	1046	700
599	1047	698
600	1049	696
601	1050	694
602	1051	692
603	1052	690
604	1054	688
605	1055	686
606	1056	684
607	1058	682
608	1059	680
609	1060	677
610	1061	675
611	1062	673
612	1064	671
613	1065	669
614	1066	667
615	1067	665
616	1069	663
617	1070	661
618	1071	659
619	1073	657
620	1074	655
621	1075	653
622	1077	651
623	1078	649
624	1079	647
625	1080	645
626	1081	643
627	1083	641
628	1084	639
629	1086	637
630	1087	635
631	1088	633
632	1089	631
633	1091	629
634	1092	627
635	1093	625
636	1094	623
637	1095	621
638	1097	619
639	1098	618
640	1100	616
641	1101	614
642	1102	612
643	1103	610
644	1105	608
645	1106	606
646	1108	604
647	1109	602
648	1110	600
649	1112	598
650	1113	596
651	1114	595
652	1116	593
653	1117	591
654	1118	589
655	1119	587
656	1121	585
657	1122	583
658	1123	581
659	1124	579
660	1126	577
661	1127	575
662	1129	574
663	1130	572
664	1132	570
665	1133	568
666	1134	566
667	1135	564
668	1137	562
669	1138	560
670	1139	558
671	1140	556
672	1141	554
673	1143	553
674	1144	551
675	1146	549
676	1147	547
677	1148	545
678	1149	543
679	1151	541
680	1152	539
681	1153	537
682	1154	535
683	1156	534
684	1157	532
685	1159	530
686	1160	528
687	1161	526
688	1162	524
689	1163	522
690	1165	521
691	1166	519
692	1167	517
693	1168	515
694	1170	513
695	1171	511
696	1172	509
697	1174	508
698	1175	506
699	1176	504
700	1177	502
701	1179	500
702	1180	498
703	1181	496
704	1182	494
705	1183	492
706	1184	490
707	1185	489
708	1187	487
709	1189	485
710	1190	483
711	1191	482
712	1192	480
713	1194	478
714	1195	476
715	1196	474
716	1197	472
717	1199	470
718	1200	469
719	1202	467
720	1204	465
721	1205	464
722	1206	462
723	1207	460
724	1209	458
725	1210	456
726	1211	454
727	1212	453
728	1213	451
729	1215	449
730	1216	447
731	1218	445
732	1219	444
733	1220	442
734	1221	440
735	1222	438
736	1224	436
737	1225	435
738	1226	433
739	1228	431
740	1229	429
741	1231	428
742	1233	426
743	1234	424
744	1235	422
745	1236	421
746	1238	419
747	1239	417
748	1240	415
749	1241	413
750	1243	412
751	1244	410
752	1245	408
753	1247	406
754	1248	405
755	1249	403
756	1250	401
757	1252	399
758	1253	397
759	1254	396
760	1255	394
761	1256	392
762	1258	390
763	1259	388
764	1260	387
765	1262	385
766	1263	383
767	1264	382
768	1265	380
769	1267	378
770	1268	376
771	1269	374
772	1270	373
773	1272	371
774	1273	369
775	1274	367
776	1276	366
777	1277	364
778	1279	362
779	1280	361
780	1281	359
781	1282	357
782	1283	355
783	1285	354
784	1286	352
785	1288	350
786	1289	348
787	1290	347
788	1292	345
789	1293	343
790	1295	342
791	1296	340
792	1297	338
793	1298	336
794	1300	335
795	1301	333
796	1302	331
797	1303	330
798	1305	328
799	1306	326
800	1308	325
801	1309	323
802	1310	321
803	1311	319
804	1313	318
805	1314	316
806	1315	314
807	1316	312
808	1317	311
809	1319	309
810	1320	307
811	1322	306
812	1323	304
813	1324	302
814	1325	300
815	1327	299
816	1328	297
817	1329	295
818	1330	294
819	1331	292
820	1332	290
821	1334	288
822	1335	287
823	1337	285
824	1338	283
825	1339	282
826	1340	280
827	1341	278
828	1343	277
829	1344	275
830	1345	273
831	1346	271
832	1347	270
833	1348	268
834	1350	266
835	1352	265
836	1353	263
837	1354	261
838	1355	260
839	1357	258
840	1358	256
841	1359	255
842	1360	253
843	1362	251
844	1363	250
845	1364	248
846	1366	246
847	1367	245
848	1368	243
849	1369	241
850	1370	240
851	1372	238
852	1373	236
853	1374	234
854	1375	233
855	1377	231
856	1378	229
857	1379	228
858	1381	226
859	1382	225
860	1383	223
861	1384	221
862	1386	220
863	1387	218
864	1388	216
865	1389	215
866	1390	213
867	1391	211
868	1393	210
869	1394	208
870	1396	206
871	1397	205
872	1398	203
873	1399	201
874	1401	200
875	1402	198
876	1403	196
877	1404	195
878	1406	193
879	1407	191
880	1409	190
881	1410	188
882	1411	187
883	1413	185
884	1414	183
885	1415	182
886	1416	180
887	1417	178
888	1419	177
889	1420	175
890	1421	173
891	1422	172
892	1424	170
893	1425	169
894	1426	167
895	1428	165
896	1429	164
897	1430	162
898	1431	160
899	1433	159
900	1434	157
901	1435	155
902	1436	154
903	1437	152
904	1439	151
905	1440	149
906	1442	147
907	1443	146
908	1444	144
909	1445	142
910	1446	141
911	1448	139
912	1449	138
913	1450	136
914	1451	134
915	1452	133
916	1454	131
917	1455	130
918	1456	128
919	1458	126
920	1459	125
921	1460	123
922	1461	121
923	1462	120
924	1463	118
925	1465	117
926	1466	115
927	1468	113
928	1470	112
929	1471	110
930	1472	109
931	1473	107
932	1475	105
933	1476	104
934	1477	102
935	1478	101
936	1479	99
937	1480	97
938	1482	96
939	1483	94
940	1485	93
941	1486	91
942	1487	89
943	1488	88
944	1489	86
945	1491	85
946	1492	83
947	1493	81
948	1494	80
949	1496	78
950	1497	77
951	1498	75
952	1500	73
953	1501	72
954	1502	70
955	1503	69
956	1504	67
957	1506	66
958	1507	64
959	1508	62
960	1509	61
961	1511	59
962	1512	58
963	1513	56
964	1515	54
965	1516	53
966	1517	51
967	1518	50
968	1519	48
969	1521	47
970	1522	45
971	1523	43
972	1525	42
973	1526	40
974	1527	39
975	1529	37
976	1530	36
977	1531	34
978	1533	32
979	1534	31
980	1535	29
981	1537	28
982	1538	26
983	1539	25
984	1540	23
985	1542	21
986	1543	20
987	1545	18
988	1546	17
989	1547	15
990	1548	14
991	1550	12
992	1551	10
993	1552	9
994	1553	7
995	1554	6
996	1556	4
997	1557	3
998	1559	1
999	1560	0
